Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-07,46.20751083745527,46.501884648448105,45.253031624658476,45.56524658203125,30953800,0.0,0.0
2023-03-08,45.54741006859053,45.73473702035806,44.86946004859697,45.20843505859375,12847700,0.0,0.0
2023-03-09,45.119233080163944,45.34224233009868,43.183511021247874,43.352996826171875,29460100,0.0,0.0
2023-03-10,42.88914652170995,44.04879410143172,42.041710574003105,43.12107467651367,29770800,0.0,0.0
2023-03-13,41.92573874372321,42.13982911966904,39.78484859566925,39.90973663330078,50709200,0.0,0.0
2023-03-14,42.11306542078338,42.80885658592364,41.533243419826064,42.282554626464844,42165900,0.0,0.0
2023-03-15,40.534156296268186,40.587679736331395,39.338826690996264,39.98109436035156,41832800,0.0,0.0
2023-03-16,39.838374108775305,41.113987349435824,38.982019366232244,40.69472885131836,28877300,0.0,0.0
2023-03-17,40.12383153221713,40.12383153221713,39.08906855025542,39.4726448059082,37130200,0.0,0.0
2023-03-20,39.8829683804791,40.80176868755284,39.169339551817956,39.32990646362305,31899900,0.0,0.0
2023-03-21,40.65012385566881,41.051541166863394,40.097061895162355,40.204105377197266,29835600,0.0,0.0
2023-03-22,40.30223175235684,40.41819751463759,38.96417625832866,38.990936279296875,21672000,0.0,0.0
2023-03-23,39.526162718674,40.007860137168954,38.45571758329948,38.759010314941406,24112600,0.0,0.0
2023-03-24,38.21486857463133,38.46463786766998,37.47447616619335,38.455718994140625,25453900,0.0,0.0
2023-03-27,39.30315117517465,40.1416647243911,39.142584244049,39.94541549682617,29335200,0.0,0.0
2023-03-28,39.8918987936154,40.34683620131157,39.68673067619545,40.33791732788086,16206000,0.0,0.0
2023-03-29,40.66796375610643,41.04261763316569,40.551998002461545,40.989097595214844,15047000,0.0,0.0
2023-03-30,41.46188452409205,41.60461032578327,40.80177896733948,41.09614944458008,14226400,0.0,0.0
2023-03-31,41.56892607841899,41.8989822441938,41.32807906415822,41.82761764526367,16009200,0.0,0.0
2023-04-03,42.050621758366624,42.362836736139734,41.417276333324,41.66704559326172,16633100,0.0,0.0
2023-04-04,41.83653430869461,41.9435777898773,40.72148812139306,41.113983154296875,15542400,0.0,0.0
2023-04-05,40.56093033732217,41.20319477198331,40.41820452930284,40.82854080200195,11739100,0.0,0.0
2023-04-06,40.855297656035404,41.221032723371316,40.60552836210398,40.90882110595703,11918100,0.0,0.0
2023-04-10,40.846368285188895,41.71164171801728,40.828527139800094,41.497554779052734,11777100,0.0,0.0
2023-04-11,41.631359377048,42.255785870930566,41.55999819643748,42.10414123535156,14177300,0.0,0.0
2023-04-12,42.353919731471535,42.49664552674691,41.49756495981928,41.85437774658203,14330900,0.0,0.0
2023-04-13,41.836538967644564,42.452043306551744,41.55108738413533,42.19335174560547,15578900,0.0,0.0
2023-04-14,42.969423835215245,44.50372867762497,42.835620317028045,44.20935821533203,33064500,0.0,0.0
2023-04-17,44.38775970069407,44.43236427305328,43.79009654301305,44.3253173828125,19590400,0.0,0.0
2023-04-18,44.53940324622931,44.86945595055869,44.1112259372167,44.67321014404297,16616200,0.0,0.0
2023-04-19,44.360997410468556,45.00326510765642,44.04878583703053,44.95866394042969,14894000,0.0,0.0
2023-04-20,44.43236636891854,44.6464533537963,43.79901748176455,44.06663131713867,20410200,0.0,0.0
